order_id,customer_id,order_date,category,product_name,quantity,unit_price,discount_pct,payment_method,order_status
O00001,C0153,2024-08-31,Home,Product 14,3,2460.52,0.1,Card,Returned
O00002,C0488,2023-09-25,Home,Product 39,3,1022.96,0.05,UPI,Returned
O00003,C0014,2024-11-28,Home,Product 64,4,4987.6,0.1,Card,Cancelled
O00004,C0293,2024-08-20, electronics ,Product 44,4,3660.09,0.05,COD,Returned
O00005,C0154,2024-11-18,,Product 108,4,3322.31,0.05,Card,Completed
O00006,C0287,2023-09-22, electronics ,Product 88,4,4508.0,0.0,UPI,Cancelled
O00007,C0455,2023-11-11,ELECTRONICS,Product 48,2,1376.74,0.1,Card,Completed
O00008,C0484,2024-10-11,fashion ,Product 10,4,2413.88,0.05,COD,Completed
O00009,C0438,2024-02-28, electronics ,Product 18,4,4962.5,0.1,Card,Returned
O00010,C0399,2025-06-02,Electronics,Product 63,4,1729.88,0.05,Card,Returned
O00011,C0397,2023-10-08, electronics ,Product 74,-1,3845.97,0.15,UPI,Completed
O00012,C0495,2024-03-15,Fashion,Product 50,5,122.88,0.05,COD,Cancelled
O00013,C0098,2025-02-14,Electronics,Product 87,1,120.21,0.05,UPI,Returned
O00014,C0302,2023-04-16,ELECTRONICS,Product 22,3,419.91,0.0,Card,Cancelled
O00015,C0223,2024-09-02,Home,Product 18,4,1779.39,0.15,Card,Completed
O00016,C0117,2025-04-11, electronics ,Product 94,2,4925.91,0.05,COD,Completed
O00017,C0334,2023-05-07,Electronics,Product 49,5,4395.07,0.1,COD,Returned
O00018,C0335,2023-02-19,Electronics,Product 7,1,3479.77,0.15,Card,Cancelled
O00019,C0106,2024-04-30,Home,Product 88,1,3188.53,0.1,Card,Returned
O00020,C0359,2023-10-04, electronics ,Product 54,1,4170.2,0.0,COD,Returned
O00021,C0255,2023-04-27, electronics ,Product 78,5,1078.77,0.1,COD,Completed
O00022,C0281,2023-10-30,Fashion,Product 117,3,1117.7,0.15,Card,Completed
O00023,C0428,2023-04-02,fashion ,Product 86,-1,2521.11,0.0,COD,Completed
O00024,C0152,2024-10-21,ELECTRONICS,Product 60,1,345.39,0.05,UPI,Cancelled
O00025,C0060,2023-11-17,Electronics,Product 109,3,3815.2,0.0,UPI,Completed
O00026,C0138,2024-03-24,Home,Product 12,2,1925.85,0.1,UPI,Completed
O00027,C0198,2024-04-12,Home,Product 109,4,2443.4,0.15,COD,Completed
O00028,C0483,2025-01-13, electronics ,Product 14,1,2138.54,0.15,COD,Returned
O00029,C0314,2024-01-24,Electronics,Product 111,4,3453.87,0.05,Card,Cancelled
O00030,C0134,2024-03-27,Home,Product 41,1,160.57,0.05,COD,Cancelled
O00031,C0222,2024-12-18,Home,Product 94,5,1318.03,0.1,COD,Returned
O00032,C0314,2025-04-26,Electronics,Product 2,4,3252.65,0.05,COD,Cancelled
O00033,C0165,2023-03-18, electronics ,Product 43,4,4853.71,0.0,COD,Completed
O00034,C0041,2024-02-17,Fashion,Product 57,5,4026.18,0.15,UPI,Cancelled
O00035,C0010,2024-05-24,Electronics,Product 52,4,2120.46,0.0,UPI,Returned
O00036,C0336,2024-06-04,Home,Product 59,5,4756.74,0.1,UPI,Completed
O00037,C0243,2025-02-24,Home,Product 85,4,1880.14,0.15,UPI,Completed
O00038,C0494,2023-12-30,ELECTRONICS,Product 71,-2,2657.73,0.0,UPI,Completed
O00039,C0210,2025-01-04,Electronics,Product 33,4,3093.17,0.05,UPI,Cancelled
O00040,C0174,2025-03-11,Electronics,Product 97,2,2130.9,0.0,Card,Cancelled
O00041,C0003,2023-05-18,fashion ,Product 95,5,338.0,0.15,COD,Cancelled
O00042,C0089,2023-07-01,Home,Product 105,5,729.07,0.15,COD,Returned
O00043,C0215,2024-05-31,fashion ,Product 118,5,3493.33,0.05,Card,Cancelled
O00044,C0071,2024-04-08,Fashion,Product 78,3,3530.07,0.1,COD,Returned
O00045,C0103,2024-07-20, electronics ,Product 80,3,3600.48,0.1,COD,Completed
O00046,C0364,2024-12-11,Electronics,Product 98,2,1825.97,0.15,COD,Returned
O00047,C0450,2025-05-11,Fashion,Product 104,4,162.58,0.0,UPI,Cancelled
O00048,C0385,2023-02-27, electronics ,Product 37,2,3448.61,0.05,UPI,Returned
O00049,C0417,2024-07-08,Fashion,Product 14,3,3118.93,0.05,COD,Returned
O00050,C0409,2024-06-07,Home,Product 37,5,3495.39,0.0,Card,Cancelled
O00051,C0283,2024-12-02,Electronics,Product 2,4,3743.98,0.05,COD,Cancelled
O00052,C0189,2024-12-22,fashion ,Product 70,2,3718.41,0.05,COD,Completed
O00053,C0493,2024-11-30, electronics ,Product 95,3,2617.85,0.15,UPI,Cancelled
O00054,C0434,2023-05-14,ELECTRONICS,Product 1,3,1719.76,0.05,UPI,Completed
O00055,C0316,2025-03-03,Home,Product 39,3,2503.7,0.1,UPI,Returned
O00056,C0403,2023-07-08,fashion ,Product 21,3,2138.06,0.15,UPI,Cancelled
O00057,C0185,2024-11-10,ELECTRONICS,Product 28,2,4756.51,0.15,COD,Returned
O00058,C0464,2023-12-21,Home,Product 79,1,4601.18,0.05,UPI,Returned
O00059,C0198,2025-03-26,ELECTRONICS,Product 70,3,3647.48,0.0,COD,Cancelled
O00060,C0152,2024-04-01,Home,Product 25,5,1669.53,0.0,UPI,Completed
O00061,C0344,2024-10-03,Home,Product 100,5,1144.56,0.15,UPI,Completed
O00062,C0397,2025-06-18,Fashion,Product 83,5,4102.1,0.0,COD,Returned
O00063,C0045,2025-01-04,Electronics,Product 7,2,972.16,0.1,COD,Completed
O00064,C0231,2023-09-22,Home,Product 52,5,2221.82,0.0,Card,Returned
O00065,C0033,2024-10-18,Home,Product 75,1,323.03,0.0,Card,Returned
O00066,C0045,2024-12-03,ELECTRONICS,Product 98,1,4640.79,0.15,Card,Returned
O00067,C0383,2024-06-30,Fashion,Product 102,1,4007.67,0.1,COD,Completed
O00068,C0332,2025-03-25,ELECTRONICS,Product 2,3,2812.27,0.05,UPI,Completed
O00069,C0485,2024-02-08,Electronics,Product 40,1,1129.26,0.1,UPI,Cancelled
O00070,C0428,2023-07-08,ELECTRONICS,Product 25,5,661.65,0.0,COD,Cancelled
O00071,C0051,2024-11-18, electronics ,Product 93,5,2944.92,0.1,Card,Completed
O00072,C0100,2024-09-26,ELECTRONICS,Product 63,2,2308.17,0.1,COD,Returned
O00073,C0491,2024-01-09,Fashion,Product 22,2,123.68,0.05,UPI,Returned
O00074,C0376,2024-01-04,ELECTRONICS,Product 113,4,2451.77,0.15,Card,Cancelled
O00075,C0042,2023-06-29,ELECTRONICS,Product 110,4,4149.57,0.05,Card,Returned
O00076,C0324,2023-01-20,Electronics,Product 105,1,2951.26,0.15,COD,Completed
O00077,C0277,2024-07-10,Fashion,Product 84,1,3898.47,0.1,Card,Completed
O00078,C0257,2023-10-25,fashion ,Product 12,5,2044.25,0.0,COD,Completed
O00079,C0229,2025-02-14, electronics ,Product 23,5,2875.15,0.05,COD,Returned
O00080,C0250,2023-02-11, electronics ,Product 9,4,1395.35,0.05,UPI,Returned
O00081,C0241,2025-03-21,Fashion,Product 113,2,327.54,0.1,UPI,Returned
O00082,C0135,2023-10-08,fashion ,Product 70,5,2893.78,0.15,COD,Cancelled
O00083,C0129,2025-05-05,Fashion,Product 117,3,1192.21,0.15,Card,Cancelled
O00084,C0452,2027-01-01, electronics ,Product 57,4,911.47,0.0,COD,Returned
O00085,C0309,2023-07-11,Home,Product 105,3,679.82,0.05,Card,Cancelled
O00086,C0303,2024-05-05, electronics ,Product 83,1,4183.49,0.0,UPI,Completed
O00087,C0263,2023-06-14,Electronics,Product 115,2,2904.12,0.0,UPI,Cancelled
O00088,C0289,2024-02-20,Home,Product 3,2,4404.69,0.1,UPI,Completed
O00089,C0088,2024-04-27, electronics ,Product 107,4,2112.76,0.05,COD,Completed
O00090,C0352,2023-09-28,ELECTRONICS,Product 119,5,2322.0,0.0,UPI,Cancelled
O00091,C0441,2023-01-17,fashion ,Product 88,4,2157.0,0.05,COD,Completed
O00092,C0450,2024-09-21,fashion ,Product 65,2,3786.68,0.0,Card,Returned
O00093,C0460,2024-07-06,Home,Product 84,2,2214.33,0.15,Card,Completed
O00094,C0394,2025-04-01,Fashion,Product 45,5,2986.34,0.0,Card,Completed
O00095,C0043,2023-08-27,ELECTRONICS,Product 77,3,4396.15,0.15,Card,Completed
O00096,C0268,2027-01-01,Electronics,Product 67,1,135.25,0.05,COD,Cancelled
O00097,C0300,2023-06-08,ELECTRONICS,Product 34,4,4289.39,0.15,COD,Cancelled
O00098,C0105,2024-11-27,Fashion,Product 71,5,3940.56,0.15,UPI,Cancelled
O00099,C0296,2023-09-17,ELECTRONICS,Product 100,5,3556.92,0.05,COD,Completed
O00100,C0052,2024-12-17, electronics ,Product 66,2,2062.75,0.1,COD,Returned
O00101,C0047,2027-01-01, electronics ,Product 61,1,4636.72,0.15,UPI,Completed
O00102,C0371,2023-03-23,Fashion,Product 120,3,4923.8,0.1,COD,Returned
O00103,C0254,2025-04-19,Fashion,Product 2,1,1088.37,0.1,UPI,Completed
O00104,C0087,2024-12-16,Home,Product 5,5,1862.73,0.0,UPI,Completed
O00105,C0208,2023-12-28,fashion ,Product 26,3,2636.94,0.0,UPI,Returned
O00106,C0179,2024-07-26,ELECTRONICS,Product 105,3,1454.89,0.05,Card,Cancelled
O00107,C0055,2023-06-29,fashion ,Product 10,-5,2565.53,0.1,UPI,Returned
O00108,C0129,2025-04-12,,Product 57,3,4833.67,0.15,UPI,Cancelled
O00109,C0247,2024-08-23,Electronics,Product 34,4,431.02,0.05,COD,Returned
O00110,C0265,2024-02-27,fashion ,Product 2,2,3534.01,0.1,UPI,Cancelled
O00111,C0039,2025-02-05,fashion ,Product 120,1,974.58,0.1,Card,Completed
O00112,C0466,2025-02-03, electronics ,Product 64,5,3711.85,0.05,COD,Completed
O00113,C0429,2023-07-27,fashion ,Product 46,3,864.38,0.0,UPI,Completed
O00114,C0491,2025-02-21,Electronics,Product 109,4,2463.23,0.1,Card,Returned
O00115,C0144,2025-02-21,Fashion,Product 29,3,3775.83,0.05,UPI,Returned
O00116,C0178,2024-07-07,Fashion,Product 111,4,3463.06,0.05,Card,Completed
O00117,C0346,2027-01-01, electronics ,Product 49,5,2946.94,0.1,Card,Returned
